,title,artist,release,metascore,userscore
8435,Original Pirate Material,by The Streets,"October 22, 2002",90,8.7
8436,Undun,by The Roots,"December 6, 2011",88,8.7
8437,Exmilitary,by Death Grips,"April 27, 2011",82,8.7
8438,Stillmatic,by Nas,"December 18, 2001",69,8.7
8439,Hip Hop Is Dead,by Nas,"December 19, 2006",79,8.7
8440,Be,by Common,"May 24, 2005",83,8.7
8441,Cocoa Sugar,by Young Fathers,"March 9, 2018",87,8.7
8442,How I Got Over,by The Roots,"June 22, 2010",86,8.7
8443,God's Son,by Nas,"December 17, 2002",81,8.7
8444,Only Built 4 Cuban Linx... Pt. II,by Raekwon,"September 8, 2009",88,8.7
8445,God Loves Ugly,by Atmosphere,"June 11, 2002",76,8.7
8446,XXX,by Danny Brown,"August 15, 2011",83,8.7
8447,Fishscale,by Ghostface Killah,"March 28, 2006",88,8.7
8448,Ephorize,by CupcakKe,"January 5, 2018",84,8.7
8449,Control System,by Ab-Soul,"May 11, 2012",83,8.7
8450,Distant Relatives,by Nas And Damian Marley,"May 18, 2010",73,8.7
8451,Game Theory,by The Roots,"August 29, 2006",83,8.7
8452,Paper Trail,by T.I.,"September 30, 2008",74,8.7
8453,The Ecstatic,by Mos Def,"June 9, 2009",81,8.7
8454,The Renaissance,by Q-Tip,"November 4, 2008",82,8.7
8455,I'll Sleep When You're Dead,by El-P,"March 20, 2007",80,8.7
8456,"When Life Gives You Lemons, You Paint That Shit Gold",by Atmosphere,"April 22, 2008",68,8.7
8457,Chicken & Beer,by Ludacris,"October 7, 2003",75,8.7
8458,In Search Of... [First Version],by N.E.R.D,"August 6, 2001",92,8.7
8459,Labor Days,by Aesop Rock,"September 18, 2001",92,8.7
8460,Ultimate Victory,by Chamillionaire,"September 18, 2007",71,8.7
8461,Beauty And The Beat,by Edan,"March 29, 2005",85,8.7
8462,Rising Down,by The Roots,"April 29, 2008",80,8.7
8463,The Recession,by Young Jeezy,"September 2, 2008",72,8.7
8464,Elephant Eyelash,by Why?,"October 4, 2005",76,8.7
8465,Power In Numbers,by Jurassic 5,"October 8, 2002",76,8.7
8466,Legends Never Die,by R.A. the Rugged Man,"April 30, 2013",84,8.7
8467,Born Like This,by DOOM,"March 24, 2009",77,8.7
8468,Murs 3:16 The 9th Edition,by Murs,"March 23, 2004",85,8.7
8469,You Can't Imagine How Much Fun We're Having,by Atmosphere,"October 4, 2005",77,8.7
8470,Birth Of A Prince,by The RZA,"October 7, 2003",62,8.7
8471,More Fish,by Ghostface Killah,"December 12, 2006",77,8.7
8472,"Fast Cars, Danger, Fire And Knives [EP]",by Aesop Rock,"February 22, 2005",69,8.7
8473,Desire,by Pharoahe Monch,"June 26, 2007",79,8.7
8474,Raw Footage,by Ice Cube,"August 19, 2008",67,8.7
8475,Panic Prevention,by Jamie T,"August 28, 2007",71,8.7
8476,The Bake Sale [EP],by The Cool Kids,"June 3, 2008",78,8.7
8477,UGK 4 Life,by UGK,"March 31, 2009",84,8.7
8478,Blakroc,by Blakroc,"November 27, 2009",72,8.7
8479,Brooklynati,by Tanya Morgan,"May 19, 2009",79,8.7
8480,Jay Stay Paid,by J Dilla aka Jay Dee,"June 2, 2009",81,8.7
8481,The Infamous Mobb Deep,by Mobb Deep,"April 1, 2014",70,8.7
8482,1977,by Terius Nash,"August 31, 2011",66,8.7
8483,Afterparty Babies,by Cadence Weapon,"March 4, 2008",73,8.7
8484,Good to Be Home,by Blu,"May 19, 2014",73,8.7
8485,85 to Africa,by Jidenna,"August 23, 2019",70,8.7
8486,Kids See Ghosts,by Kids See Ghosts,"June 8, 2018",84,8.6
8487,Rodeo,by Travis Scott,"September 4, 2015",64,8.6
8488,Trench,by Twenty One Pilots,"October 5, 2018",81,8.6
8489,Malibu,by Anderson .Paak,"January 15, 2016",85,8.6
8490,Kala,by M.I.A.,"August 21, 2007",87,8.6
8491,Summertime '06,by Vince Staples,"June 30, 2015",87,8.6
8492,Saturation III,by BROCKHAMPTON,"December 15, 2017",82,8.6
8493,Run the Jewels,by El-P,"June 26, 2013",86,8.6
8494,Piñata,by Madlib,"March 18, 2014",82,8.6
8495,Bottomless Pit,by Death Grips,"May 6, 2016",80,8.6
8496,Bandana,by Freddie Gibbs,"June 28, 2019",88,8.6
8497,Life is Good,by Nas,"July 17, 2012",81,8.6
8498,No Love Deep Web,by Death Grips,"November 19, 2013",76,8.6
8499,The Powers That B,by Death Grips,"March 31, 2015",73,8.6
8500,The Documentary,by The Game,"January 18, 2005",72,8.6
8501,Donuts,by J Dilla aka Jay Dee,"February 7, 2006",84,8.6
8502,The Lost Tapes,by Nas,"September 24, 2002",81,8.6
8503,Doctor's Advocate,by The Game,"November 14, 2006",73,8.6
8504,Alfredo,by Freddie Gibbs,"May 29, 2020",88,8.6
8505,Miss E... So Addictive,by Missy Elliott,"May 15, 2001",89,8.6
8506,Until The End Of Time,by 2Pac,"March 27, 2001",51,8.6
8507,DiCaprio 2,by J.I.D,"November 26, 2018",80,8.6
8508,The Impossible Kid,by Aesop Rock,"April 29, 2016",85,8.6
8509,The Mouse And The Mask,by DangerDoom,"October 11, 2005",81,8.6
8510,Phrenology,by The Roots,"November 26, 2002",87,8.6
8511,None Shall Pass,by Aesop Rock,"August 28, 2007",74,8.6
8512,4eva N A Day,by Big K.R.I.T.,"March 5, 2012",78,8.6
8513,The Singles Collection 2001-2011,by Gorillaz,"November 29, 2011",76,8.6
8514,Alopecia,by Why?,"March 11, 2008",76,8.6
8515,Cee-Lo Green Is The Soul Machine,by Cee Lo Green,"March 2, 2004",86,8.6
8516,For Hero: For Fool,by Subtle,"October 3, 2006",85,8.6
8517,Ear Drum,by Talib Kweli,"August 21, 2007",73,8.6
8518,A Healthy Distrust,by Sage Francis,"February 8, 2005",78,8.6
8519,The Further Adventures Of Lord Quas,by Quasimoto,"May 3, 2005",79,8.6
8520,Eden,by CupcakKe,"November 9, 2018",77,8.6
8521,Dark Comedy,by Open Mike Eagle,"June 10, 2014",73,8.6
8522,Big GRRRL Small World,by Lizzo,"December 11, 2015",79,8.6
8523,This Is My Demo,by Sway,"February 6, 2006",81,8.6
8524,Atlantis: Hymns For Disco,by k-os,"February 20, 2007",70,8.6
8525,Digi Snacks,by The RZA,"June 24, 2008",65,8.6
8526,I'm New Here,by Gil Scott-Heron,"February 9, 2010",78,8.6
8527,Covert Coup,by Curren$y,"April 20, 2011",80,8.6
8528,Yessir Whatever,by Quasimoto,"June 18, 2013",69,8.6
8529,Tronic,by Black Milk,"October 28, 2008",84,8.6
8530,Never Better,by P.O.S.,"February 3, 2009",75,8.6
8531,Imperius Rex,by Sean Price,"August 25, 2017",87,8.6
8532,Pro Tools,by GZA,"August 19, 2008",76,8.6
8533,Kamaal The Abstract,by Q-Tip,"September 15, 2009",78,8.6
8534,Tape One [EP],by Young Fathers,"January 22, 2013",82,8.6
8535,A Curious Tale of Trials & Persons,by Little Simz,"September 18, 2015",80,8.6
8536,Murray's Revenge,by Murs,"March 21, 2006",79,8.6
8537,Ten,by cLOUDDEAD,"March 16, 2004",74,8.6
8538,TSOL,by Shad,"October 5, 2010",81,8.6
8539,Li(f)e,by Sage Francis,"May 11, 2010",68,8.6
8540,Art Official Intelligence (Mosaic Thump),by De La Soul,"August 8, 2000",75,8.6
8541,Distortion,by REV RUN,"October 18, 2005",61,8.6
8542,Two Fingers,by Two Fingers,"April 14, 2009",69,8.6
8543,Marci Beaucoup,by Roc Marciano,"December 10, 2013",77,8.6
8544,Radio Silence,by Talib Kweli,"November 17, 2017",78,8.6
8545,Music To Be Murdered By,by Eminem,"January 17, 2020",64,8.5
8546,The Marshall Mathers LP 2,by Eminem,"November 5, 2013",72,8.5
8547,In My Defense,by Iggy Azalea,"August 2, 2019",39,8.5
8548,Broke With Expensive Taste,by Azealia Banks,"November 6, 2014",77,8.5
8549,DAYTONA,by Pusha T,"May 25, 2018",86,8.5
8550,"""Awaken, My Love!""",by Childish Gambino,"December 2, 2016",77,8.5
8551,Because the Internet,by Childish Gambino,"December 10, 2013",64,8.5
8552,Under Pressure,by Logic,"October 21, 2014",72,8.5
8553,Get Rich Or Die Tryin',by 50 Cent,"February 6, 2003",73,8.5
8554,Tetsuo & Youth,by Lupe Fiasco,"January 20, 2015",80,8.5
8555,"Man on the Moon, Vol. 3: The Chosen",by Kid Cudi,"December 11, 2020",71,8.5
8556,Untitled,by Nas,"July 15, 2008",71,8.5
8557,Still Brazy,by YG,"June 17, 2016",83,8.5
8558,Cilvia: Demo [EP],by Isaiah Rashad,"January 28, 2014",82,8.5
8559,R.A.P. Music,by Killer Mike,"May 15, 2012",85,8.5
8560,niggas on the moon,by Death Grips,"June 8, 2014",70,8.5
8561,Cancer4Cure,by El-P,"May 22, 2012",84,8.5
8562,The Lost Tapes II,by Nas,"July 19, 2019",58,8.5
8563,Everything's Fine,by Jean Grae,"April 27, 2018",84,8.5
8564,King's Disease,by Nas,"August 21, 2020",72,8.5
8565,In Search Of... [Second Version],by N.E.R.D,"March 12, 2002",83,8.5
8566,Twelve Reasons to Die,by Ghostface Killah,"April 16, 2013",78,8.5
8567,The Cookbook,by Missy Elliott,"July 5, 2005",74,8.5
8568,Word Of Mouf,by Ludacris,"November 27, 2001",67,8.5
8569,Cheers,by Obie Trice,"September 23, 2003",73,8.5
8570,So It Goes,by Ratking,"April 8, 2014",78,8.5
8571,Electric Circus,by Common,"December 10, 2002",80,8.5
8572,Iron Flag,by Wu-Tang Clan,"December 18, 2001",69,8.5
8573,Back To The Woods,by Angel Haze,"September 14, 2015",82,8.5
8574,This Right Here Is Buck 65,by Buck 65,"January 25, 2005",85,8.5
8575,Tape Two,by Young Fathers,"June 11, 2013",84,8.5
8576,I Am the West,by Ice Cube,"September 28, 2010",62,8.5
8577,Awfully Deep,by Roots Manuva,"April 19, 2005",80,8.5
8578,Hokey Fright,by The Uncluded,"May 7, 2013",79,8.5
8579,P.T.S.D.: Post Traumatic Stress Disorder,by Pharoahe Monch,"April 15, 2014",78,8.5
8580,Eve-Olution,by Eve,"August 27, 2002",68,8.5
8581,A Long Hot Summer,by Masta Ace,"August 3, 2004",78,8.5
8582,Philadelphia Freeway,by Freeway,"February 25, 2003",74,8.5
8583,Godfather Buried Alive,by Shyne,"August 10, 2004",54,8.5
8584,JP3,by JunglePussy,"May 11, 2018",83,8.5
8585,Deliverance,by Bubba Sparxxx,"September 16, 2003",82,8.5
8586,Home Sweet Home,by Kano,"June 27, 2005",82,8.5
8587,Emeritus,by Scarface,"December 2, 2008",85,8.5
8588,Pilot Talk II,by Curren$y,"November 22, 2010",79,8.5
8589,Stereo Typical,by Rizzle Kicks,"November 1, 2011",70,8.5
8590,Rosebudd's Revenge,by Roc Marciano,"February 21, 2017",83,8.5
8591,Weareallgoingtoburninhellmegamixxx3,by El-P,"August 3, 2010",75,8.5
8592,Diaspora,by GoldLink,"June 12, 2019",82,8.5
8593,Ghetto Postage,by Master P,"November 28, 2000",57,8.5
8594,AOI: Bionix,by De La Soul,"December 4, 2001",77,8.5
8595,Venomous Villain [VV:2],by Viktor Vaughn,"August 3, 2004",71,8.5
8596,Pick A Bigger Weapon,by The Coup,"April 25, 2006",78,8.5
8597,The Stimulus Package,by Freeway & Jake One,"February 16, 2010",78,8.5
8598,Made in the Manor,by Kano,"March 4, 2016",67,8.5
8599,Guns,by Quelle Chris,"March 29, 2019",81,8.5
8600,Ruff Draft [Reissue],by J Dilla aka Jay Dee,"March 20, 2007",81,8.5
8601,Everybody Down,by Kate Tempest,"May 20, 2014",77,8.5
8602,The Book of David,by DJ Quik,"April 19, 2011",79,8.5
8603,Revolverlution,by Public Enemy,"July 23, 2002",65,8.5
8604,And I Love H.E.R.: Original Motion Picture Soundtrack,by Danny,"June 24, 2008",81,8.5
8605,Are You Gonna Eat That?,by Hail Mary Mallon,"June 7, 2011",76,8.5
8606,4everevolution,by Roots Manuva,"October 25, 2011",75,8.5
8607,DAMN.,by Kendrick Lamar,"April 14, 2017",95,8.4
8608,Late Registration,by Kanye West,"August 30, 2005",85,8.4
8609,Section.80,by Kendrick Lamar,"July 2, 2011",80,8.4
8610,Hell: The Sequel EP,by Bad Meets Evil,"June 14, 2011",72,8.4
8611,Some Rap Songs,by Earl Sweatshirt,"November 30, 2018",86,8.4
8612,Arular,by M.I.A.,"March 22, 2005",88,8.4
8613,Blank Face LP,by ScHoolboy Q,"July 8, 2016",81,8.4
8614,Room 25,by Noname,"September 14, 2018",93,8.4
8615,Doris,by Earl Sweatshirt,"August 20, 2013",82,8.4
8616,American Gangster,by Jay-Z,"November 6, 2007",83,8.4
8617,Swimming,by Mac Miller,"August 3, 2018",78,8.4
8618,Old,by Danny Brown,"October 8, 2013",83,8.4
8619,"Passion, Pain & Demon Slayin'",by Kid Cudi,"December 28, 2016",70,8.4
8620,Live Love A$AP,by A$AP Rocky,"October 31, 2011",83,8.4
8621,Street's Disciple,by Nas,"November 30, 2004",80,8.4
8622,St. Elsewhere,by Gnarls Barkley,"May 9, 2006",81,8.4
8623,Painted Ruins,by Grizzly Bear,"August 18, 2017",82,8.4
8624,Finding Forever,by Common,"July 31, 2007",73,8.4
8625,CLPPNG,by clipping.,"June 10, 2014",73,8.4
8626,King,by T.I.,"March 28, 2006",77,8.4
8627,La Bella Mafia,by Lil' Kim,"March 4, 2003",65,8.4
8628,The Allegory,"by Royce da 5'9""","February 21, 2020",79,8.4
8629,Everything's For Sale,by Boogie,"January 25, 2019",82,8.4
8630,Fever,by Megan Thee Stallion,"May 17, 2019",81,8.4
8631,8 Diagrams,by Wu-Tang Clan,"December 11, 2007",73,8.4
8632,Book of Ryan,"by Royce da 5'9""","May 4, 2018",84,8.4
8633,Eat at Whitey's ,by Everlast,"October 17, 2000",67,8.4
8634,Ill Manors,by Plan B,"August 21, 2012",83,8.4
8635,Seeing Sounds,by N.E.R.D,"June 10, 2008",64,8.4
8636,Street Dreams,by Fabolous,"March 4, 2003",51,8.4
8637,Yesterday's Gone,by Loyle Carner,"January 20, 2017",84,8.4
8638,Scorpion,by Eve,"March 6, 2001",70,8.4
8639,Buck The World,by Young Buck,"March 27, 2007",70,8.4
8640,The Big Doe Rehab,by Ghostface Killah,"December 4, 2007",77,8.4
8641,"Not Waving, But Drowning",by Loyle Carner,"April 19, 2019",70,8.4
8642,Purple Haze,by Cam'ron,"December 7, 2004",72,8.4
8643,Fetti [EP],by Curren$y,"October 31, 2018",86,8.4
8644,The Last Kiss,by Jadakiss,"April 7, 2009",61,8.4
8645,Red Gone Wild: Thee Album,by Redman,"March 27, 2007",79,8.4
8646,Bad Neighbor,by MED,"October 30, 2015",81,8.4
8647,Stillness In Wonderland,by Little Simz,"December 16, 2016",84,8.4
8648,Bleeds,by Roots Manuva,"October 30, 2015",80,8.4
8649,M.A.D.E.,by Scarface,"December 4, 2007",80,8.4
8650,African Giant,by Burna Boy,"July 26, 2019",80,8.4
8651,The Ownerz,by Gang Starr,"June 24, 2003",70,8.4
8652,The Goat,by Polo G,"May 15, 2020",83,8.4
8653,Grime MC,by JME,"December 27, 2019",84,8.4
8654,This Week,by Jean Grae,"September 21, 2004",79,8.4
8655,Album of the Year,by Black Milk,"September 14, 2010",79,8.4
8656,Timez Are Weird These Days,by Theophilus London,"July 19, 2011",61,8.4
8657,No Kings,by Doomtree,"November 22, 2011",80,8.4
8658,Exiting Arm,by Subtle,"June 3, 2008",75,8.4
8659,Sorry To Bother You,by The Coup,"October 30, 2012",80,8.4
8660,My Beautiful Dark Twisted Fantasy,by Kanye West,"November 22, 2010",94,8.3
8661,Recovery,by Eminem,"June 22, 2010",63,8.3
8662,College Dropout,by Kanye West,"February 10, 2004",87,8.3
8663,untitled unmastered.,by Kendrick Lamar,"March 4, 2016",86,8.3
8664,Coloring Book [Mixtape],by Chance the Rapper,"May 13, 2016",89,8.3
8665,2014 Forest Hills Drive,by J. Cole,"December 9, 2014",67,8.3
8666,Blurryface,by Twenty One Pilots,"May 19, 2015",80,8.3
8667,Big Fish Theory,by Vince Staples,"June 23, 2017",89,8.3
8668,Wolf,"by Tyler, The Creator","April 2, 2013",70,8.3
8669,Compton,by Dr. Dre,"August 7, 2015",82,8.3
8670,"Man on the Moon, Vol. 2: The Legend of Mr. Rager",by Kid Cudi,"November 9, 2010",69,8.3
8671,I Don't Like Shit: I Don't Go Outside,by Earl Sweatshirt,"March 23, 2015",81,8.3
8672,Hell Hath No Fury,by Clipse,"November 28, 2006",89,8.3
8673,Grey Area,by Little Simz,"March 1, 2019",91,8.3
8674,King Push - Darkest Before Dawn: The Prelude,by Pusha T,"December 18, 2015",85,8.3
8675,Wildflower,by The Avalanches,"July 8, 2016",83,8.3
8676,GO:OD AM,by Mac Miller,"September 18, 2015",71,8.3
8677,The Sun's Tirade,by Isaiah Rashad,"September 2, 2016",80,8.3
8678,Elephunk,by The Black Eyed Peas,"June 24, 2003",66,8.3
8679,Prima Donna [EP],by Vince Staples,"August 26, 2016",83,8.3
8680,Drogas Wave,by Lupe Fiasco,"September 21, 2018",73,8.3
8681,uknowhatimsayin¿,by Danny Brown,"October 4, 2019",83,8.3
8682,Hell Can Wait [EP],by Vince Staples,"November 10, 2014",80,8.3
8683,Black Up,by Shabazz Palaces,"June 28, 2011",83,8.3
8684,Skelethon,by Aesop Rock,"July 10, 2012",79,8.3
8685,All 6's and 7's,by Tech N9ne,"June 7, 2011",81,8.3
8686,The Lost Boy,by YBN Cordae,"July 26, 2019",81,8.3
8687,This Is Not A Test!,by Missy Elliott,"November 25, 2003",79,8.3
8688,Lese Majesty,by Shabazz Palaces,"July 29, 2014",81,8.3
8689,The Greatest Story Never Told,by Saigon,"February 15, 2011",89,8.3
8690,Attention Deficit,by Wale,"November 10, 2009",77,8.3
8691,Second Round's On Me,by Obie Trice,"August 15, 2006",48,8.3
8692,Detroit 2,by Big Sean,"September 4, 2020",71,8.3
8693,The Undisputed Truth,by Brother Ali,"April 10, 2007",74,8.3
8694,Theater Of The Mind,by Ludacris,"November 25, 2008",68,8.3
8695,Pilot Talk,by Curren$y,"July 13, 2010",77,8.3
8696,Visions of Bodies Being Burned,by clipping.,"October 23, 2020",79,8.3
8697,The Pretty Toney Album,by Ghostface Killah,"April 20, 2004",84,8.3
8698,All Day,by Girl Talk,"November 15, 2010",79,8.3
8699,BlackenedWhite,by MellowHype,"July 12, 2011",72,8.3
8700,Back to Love,by Anthony Hamilton,"December 13, 2011",82,8.3
8701,Stay Human,by Michael Franti & Spearhead,"May 15, 2001",73,8.3
8702,Depart From Me,by Cage,"July 7, 2009",69,8.3
8703,Eskimo Snow,by Why?,"September 22, 2009",76,8.3
8704,Go! Pop! Bang!,by Rye Rye,"May 15, 2012",70,8.3
8705,Brandon Banks,by Maxo Kream,"July 18, 2019",84,8.3
8706,Music By Cavelight,by Blockhead,"March 23, 2004",72,8.3
8707,Padded Room,by Joe Budden,"February 24, 2009",70,8.3
8708,Black and Brown!,by Danny Brown,"November 7, 2011",71,8.3
8709,Mic Tyson,by Sean Price,"October 30, 2012",80,8.3
8710,Evermore: The Art of Duality,by The Underachievers,"September 25, 2015",73,8.3
8711,Featuring Ty Dolla $ign,by Ty Dolla $ign,"October 23, 2020",79,8.3
8712,The B.Coming,by Beanie Sigel,"March 29, 2005",73,8.3
8713,Ghostdini: Wizard Of Poetry,by Ghostface Killah,"September 29, 2009",68,8.3
8714,Our Pathetic Age,by DJ Shadow,"November 15, 2019",69,8.3
8715,Digital Bullet,by The RZA,"August 28, 2001",67,8.3
8716,Carnival II: Memoirs Of An Immigrant,by Wyclef Jean,"December 4, 2007",72,8.3
8717,By The Throat,by Eyedea & Abilities,"July 21, 2009",76,8.3
8718,H.F.M. 2 (The Hunger for More 2),by Lloyd Banks,"November 22, 2010",64,8.3
8719,Random Axe,by Random Axe,"June 14, 2011",80,8.3
8720,I Phantom,by Mr. Lif,"September 17, 2002",81,8.3
8721,No Said Date,by Masta Killa,"June 1, 2004",86,8.3
8722,Trill O.G.,by Bun B,"August 3, 2010",57,8.3
8723,Edna,by Headie One,"October 9, 2020",87,8.3
8724,"The Darkside, Vol. 1",by Fat Joe,"July 27, 2010",70,8.3
8725,Dust,by Muggs,"March 11, 2003",67,8.3
8726,Taste The Secret,by Ugly Duckling,"June 17, 2003",72,8.3
8727,Beat Konducta Vol. 1-2: Movie Scenes,by Madlib,"March 21, 2006",75,8.3
8728,Rainforest,by Clams Casino,"July 5, 2011",75,8.3
8729,Str8 Killa [EP],by Freddie Gibbs,"August 3, 2010",76,8.3
8730,Reconstructed: The Best of DJ Shadow,by DJ Shadow,"September 25, 2012",79,8.3
8731,Anicca,by Teebs,"October 25, 2019",84,8.3
8732,Kamikaze,by Eminem,"August 31, 2018",62,8.2
8733,Relapse,by Eminem,"May 19, 2009",59,8.2
8734,At.Long.Last.A$AP,by A$AP Rocky,"May 26, 2015",76,8.2
8735,Oxymoron,by ScHoolboy Q,"February 25, 2014",78,8.2
8736,My Name Is My Name,by Pusha T,"October 7, 2013",81,8.2
8737,Die Lit,by Playboi Carti,"May 11, 2018",71,8.2
8738,Surf,by Donnie Trumpet & The Social Experiment,"May 29, 2015",86,8.2
8739,The  Divine Feminine,by Mac Miller,"September 16, 2016",70,8.2
8740,My Krazy Life,by YG,"March 18, 2014",80,8.2
8741,4eva Is a Mighty Long Time,by Big K.R.I.T.,"October 27, 2017",80,8.2
8742,Habits & Contradictions,by ScHoolboy Q,"January 14, 2012",78,8.2
8743,"Hot Sauce Committee, Pt. 2",by Beastie Boys,"May 3, 2011",83,8.2
8744,Tickets to My Downfall,by Machine Gun Kelly,"September 25, 2020",72,8.2
8745,Shadow of a Doubt,by Freddie Gibbs,"November 20, 2015",78,8.2
8746,Islah,by Kevin Gates,"January 29, 2016",81,8.2
8747,Laila’s Wisdom,by Rapsody,"September 22, 2017",87,8.2
8748,The Grey Album,by Danger Mouse,"February 3, 2004",79,8.2
8749,Something Else,by Tech N9ne,"July 30, 2013",85,8.2
8750,Under Construction,by Missy Elliott,"November 12, 2002",81,8.2
8751,"The ""W""",by Wu-Tang Clan,"November 21, 2000",80,8.2
8752,The Odd Couple,by Gnarls Barkley,"March 18, 2008",76,8.2
8753,We're New Here,by Gil Scott-Heron,"February 22, 2011",83,8.2
8754,Slime Season [Mixtape],by Young Thug,"September 16, 2015",80,8.2
8755,Seven's Travels,by Atmosphere,"September 23, 2003",72,8.2
8756,Showtime,by Dizzee Rascal,"September 14, 2004",87,8.2
8757,Brick Body Kids Still Daydream,by Open Mike Eagle,"September 15, 2017",82,8.2
8758,II Trill,by Bun B,"May 20, 2008",82,8.2
8759,1992 Deluxe,by Princess Nokia,"September 8, 2017",77,8.2
8760,Ignorance Is Bliss,by Skepta,"May 31, 2019",79,8.2
8761,Testimony,by August Alsina,"April 15, 2014",79,8.2
8762,Cashmere,by Swet Shop Boys,"October 14, 2016",80,8.2
8763,The Saga Continues,by Wu-Tang,"October 13, 2017",64,8.2
8764,Maths + English,by Dizzee Rascal,"June 5, 2007",78,8.2
8765,Loso's Way,by Fabolous,"July 28, 2009",66,8.2
8766,Stone Rollin',by Raphael Saadiq,"May 10, 2011",86,8.2
8767,Reservation [Mixtape],by Angel Haze,"July 17, 2012",88,8.2
8768,The Hunger Games: Songs from District 12 and Beyond,by Original Soundtrack,"March 20, 2012",72,8.2
8769,Return Of Dragon,by Sisqó,"June 19, 2001",61,8.2
8770,Supreme Blientele,by Westside Gunn,"June 22, 2018",69,8.2
8771,Crime Pays,by Cam'ron,"May 12, 2009",68,8.2
8772,Czarface,by Inspectah Deck,"February 19, 2013",77,8.2
8773,"Imani, Vol. 1",by Blackalicious,"September 18, 2015",76,8.2
8774,Black Radio,by Robert Glasper,"February 28, 2012",74,8.2
8775,Right About Now,by Talib Kweli,"November 22, 2005",68,8.2
8776,The Ecology,by Fashawn,"February 24, 2015",84,8.2
8777,Party Music,by The Coup,"November 6, 2001",85,8.2
8778,Everyone Deserves Music,by Michael Franti & Spearhead,"August 19, 2003",71,8.2
8779,Peanut Butter Blues and Melancholy Jam,by Ghostpoet,"February 7, 2011",78,8.2
8780,Quality Control,by Jurassic 5,"June 6, 2000",77,8.2
8781,White People,by Handsome Boy Modeling School,"November 9, 2004",66,8.2
8782,Copper Gone,by Sage Francis,"June 3, 2014",64,8.2
8783,Fever,by Black Milk,"February 23, 2018",80,8.2
8784,Masquerade,by Wyclef Jean,"June 18, 2002",60,8.2
8785,The Preacher's Son,by Wyclef Jean,"November 4, 2003",61,8.2
8786,Honkey Kong,by Apathy,"August 23, 2011",82,8.2
